# zeta    average_speed
0.0001 0.0
0.0002 0.0
0.0003 0.0
0.0004 0.0
0.0005 0.0
0.0006 0.0
0.0007 4e-06
0.0008 0.000263
0.0009 0.000665
0.001 0.000348
0.0011 0.000845
0.0012 0.000836
0.0013 0.001043
0.0014 0.001882
0.0015 0.002261
0.0016 0.002354
0.0017 0.001679
0.0018 0.00274
0.0019 0.00265
0.002 0.003079
0.0021 0.003188
0.0022 0.003242
0.0023 0.003737
0.0024 0.003043
0.0025 0.003473
0.0026 0.004237
0.0027 0.003559
0.0028 0.002698
0.0029 0.004086
0.003 0.004154
0.0031 0.00403
0.0032 0.002853
0.0033 0.005205
0.0034 0.006094
0.0035 0.00468
0.0036 0.006076
0.0037 0.003145
0.0038 0.003442
0.0039 0.003784
0.004 0.002646
0.0042 0.007362
0.0044 0.003552
0.0046 0.008832
0.0048 0.007379
0.005 0.008138
0.0052 0.006981
0.0054 0.006508
0.0056 0.010662
0.0058 0.010134
0.006 0.007882
0.0062 0.010963
0.0064 0.011186
0.0066 0.012824
0.0068 0.012438
0.007 0.01049
0.0072 0.009171
0.0074 0.014365
0.0076 0.01098
0.0078 0.010656
0.008 0.014523
0.0082 0.015917
0.0084 0.016288
0.0086 0.01474
0.0088 0.01384
0.009 0.014371
0.0092 0.017689
0.0094 0.013001
0.0096 0.018632
0.0098 0.013882
0.01 0.016107
0.0102 0.015531
0.0104 0.014755
0.0106 0.020487
0.0108 0.016434
0.011 0.01791
0.0112 0.016646
0.0114 0.022006
0.0116 0.016648
0.0118 0.018691
0.012 0.021435
0.0122 0.020144
0.0124 0.019356
0.0126 0.022079
0.0128 0.021113
0.013 0.018973
0.0132 0.020559
0.0134 0.023146
0.0136 0.019891
0.0138 0.018021
0.014 0.021859
0.0142 0.027732
0.0144 0.018313
0.0146 0.026703
0.0148 0.017734
0.015 0.026393
0.0152 0.022251
0.0154 0.022214
0.0156 0.019191
0.0158 0.029578
0.016 0.02318
0.0162 0.021637
0.0164 0.020713
0.0166 0.021109
0.0168 0.024293
0.017 0.019344
0.0172 0.025319
0.0174 0.020811
0.0176 0.026242
0.0178 0.020953
0.018 0.029237
0.0182 0.024599
0.0184 0.027206
0.0186 0.023528
0.0188 0.023758
0.019 0.025049
0.0192 0.023825
0.0194 0.027148
0.0196 0.029929
0.0198 0.026871
0.02 0.029021
0.0202 0.026145
0.0204 0.022132
0.0206 0.030655
0.0208 0.028839
0.021 0.026244
0.0212 0.027777
0.0214 0.022648
0.0216 0.022586
0.0218 0.03275
0.022 0.030248
0.0222 0.033248
0.0224 0.032948
0.0226 0.032958
0.0228 0.03348
0.023 0.029501
0.0232 0.030897
0.0234 0.037541
0.0236 0.034854
0.0238 0.029793
0.024 0.027097
0.0242 0.033498
0.0244 0.032287
0.0246 0.037936
0.0248 0.028349
0.025 0.037865
0.0252 0.023656
0.0254 0.035662
0.0256 0.031932
0.0258 0.028633
0.026 0.033883
0.0262 0.030689
0.0264 0.030149
0.0266 0.031699
0.0268 0.030567
0.027 0.037065
0.0272 0.038048
0.0274 0.03998
0.0276 0.033964
0.0278 0.033194
0.028 0.038303
0.0282 0.03875
0.0284 0.035651
0.0286 0.031691
0.0288 0.043374
0.029 0.039767
0.0292 0.036888
0.0294 0.036257
0.0296 0.033789
0.0298 0.033703
0.03 0.04095
0.0302 0.034925
0.0304 0.036672
0.0306 0.04468
0.0308 0.040882
0.031 0.042367
0.0312 0.036818
0.0314 0.032577
0.0316 0.034332
0.0318 0.036095
0.032 0.045982
0.0322 0.034968
0.0324 0.03675
0.0326 0.034697
0.0328 0.050236
0.033 0.041941
0.0332 0.041697
0.0334 0.045404
0.0336 0.039614
0.0338 0.042653
0.034 0.048424
0.0342 0.041581
0.0344 0.034502
0.0346 0.044179
0.0348 0.039929
0.035 0.044633
0.0352 0.033134
0.0354 0.051597
0.0356 0.052348
0.0358 0.048012
0.036 0.038841
0.0362 0.044741
0.0364 0.045079
0.0366 0.04965
0.0368 0.039553
0.037 0.039928
0.0372 0.050025
0.0374 0.037297
0.0376 0.047165
0.0378 0.046961
0.038 0.035937
0.0382 0.042918
0.0384 0.052309
0.0386 0.053697
0.0388 0.053376
0.039 0.049831
0.0392 0.054113
0.0394 0.050036
0.0396 0.04605
0.0398 0.050014
0.04 0.030736
0.0402 0.052649
0.0404 0.054364
0.0406 0.04543
0.0408 0.035048
0.041 0.053329
0.0412 0.051323
0.0414 0.053719
0.0416 0.05331
0.0418 0.055506
0.042 0.05381
0.0422 0.052963
0.0424 0.049072
0.0426 0.059164
0.0428 0.056241
0.043 0.054169
0.0432 0.053958
0.0434 0.038718
0.0436 0.039045
0.0438 0.046284
0.044 0.048218
0.0442 0.055395
0.0444 0.062585
0.0446 0.056972
0.0448 0.046105
0.045 0.054524
0.0452 0.044662
0.0454 0.058246
0.0456 0.048839
0.0458 0.045645
0.046 0.057123
0.0462 0.054921
0.0464 0.049546
0.0466 0.049687
0.0468 0.059338
0.047 0.061372
0.0472 0.046134
0.0474 0.059536
0.0476 0.049153
0.0478 0.062413
0.048 0.064809
0.0482 0.050908
0.0484 0.047376
0.0486 0.048274
0.0488 0.066106
0.049 0.066239
0.0492 0.053267
0.0494 0.062201
0.0496 0.044755
0.0498 0.054712
0.05 0.059564
